id,clust_12,LD1,LD2,LD3,LD4,LD5,LD6
2824,5,2.4749982697086916,-0.6889576044719345,0.6898922339211215,-0.11874350132608613,0.5049154093288806,-0.22557440231895287
2825,5,2.2817621312283,-0.19045751601468186,0.9948793243595042,-0.15991416689239618,0.6155314057341653,-0.9969290524177138
2826,5,2.2334121042901423,-0.9128385203009025,1.9336912025679263,0.05292637385173665,0.5106821657354051,-0.6227529541685544
2827,5,2.254979270352332,0.3893206905377964,1.525864940694563,-0.3436069786220384,0.30518514397168395,0.7418260647487473
2828,5,2.2850707010163465,0.8454739044300663,1.7699884557372734,-0.2751802173107911,-0.27919070685036984,0.6096875410534854
2829,5,2.0512740899350046,1.0786139215320993,1.8714672336330056,-1.2587701131131817,0.110038690408297,0.9971939698876213
2830,5,2.121324627726841,0.2561703631505077,3.2101327369332755,-1.8294298996861231,0.01531524943677992,0.5136758254939503
2831,5,2.890988455147966,-0.465454726989536,3.3386728976658158,-0.32748395084158266,-0.2589703376602273,-0.36107359864502897
2832,5,3.3290194880031927,-0.9916309420380787,3.000435470293685,0.16970782038028298,0.05227730344484971,-0.16570305983803996
2833,5,3.5342366784773454,-0.6805988164669416,3.6029261143669284,0.4175166610110289,-0.9173929732511107,-0.4852965911229543
2834,5,3.439408779129348,0.33505429612807813,2.9731087264648153,0.8422145012102858,-1.2751752628040314,-0.24349042875572602
2835,5,3.8462958006189045,0.6346064965186219,3.0955681374676853,0.34079644044457863,-0.9831052557920414,-0.26707608908874725
2836,6,3.5297416799129664,2.049003245071282,3.1184570046635054,0.2608964943042839,-2.0979165481004403,0.29192360561477415
2892,2,-1.3417125741655653,-2.796619607474152,0.22724415168589013,0.41108988668102986,0.8489317668513501,-0.36091361803208316
2893,2,-0.47665163762722984,-2.3711760785639537,0.7369200660071029,0.8196105159021834,0.9556704430309906,1.3489876189414178
2894,4,-0.4572499896203126,-1.4408111746159458,0.14338320209064775,0.7434213252122556,1.6140026914967385,0.24704547543162728
2895,4,-0.009190373451699714,-1.2615860476581306,0.4595332226248642,0.8591247791190316,1.4002843912554417,1.1405967041354421
2896,2,-1.2679514369093856,-0.7040988248379473,0.28659031737969415,0.3741377542467389,0.7134506464608239,0.3760095317670177
2897,2,-0.7406989929260552,-0.5749784281060618,0.46429808142466067,0.32457377958045996,0.8202699721489541,1.3665136732408258
2898,2,-0.12504571475865664,-1.0653077460707243,0.6018350694572181,0.8427772455696279,0.6881590875700468,1.7559862928556378
2899,2,-0.47024810808182194,-1.5203674654225334,0.29957126634196385,-0.05899359726287157,0.19125767394825802,0.09238934946821287
2900,2,-0.30997420213275617,-1.1768695667452425,0.6818631932405713,-0.07599235370891425,0.2864600949824048,0.914790338008071
2901,2,-0.09875202703119335,-1.1952176494999596,0.7399395485026671,0.008676692438568057,0.34454371382666943,1.2355589843504755
2902,2,-0.26488686392393845,1.0220190628197994,0.5443439007706049,0.35751879275720677,-0.0596819943629391,0.8200128340933881
2903,2,0.25124840192033443,0.18715442271458194,0.6587217487942317,-0.7460382946458936,-0.05874276417741828,0.8180760241349792
2904,5,1.0207150662282927,-0.2675449172869198,1.143752926186842,-1.123031525012167,0.3311221726789674,0.5654953250595669
2905,5,1.3264178176850645,-0.49616387511295146,1.4846384829853339,-1.8867062063337818,0.8192205178865818,-0.267368005471369
2906,5,1.1822872524915273,-0.8730165277406191,1.1772612185843612,-1.4404363828171234,0.672857272979749,-1.0695587710903536
2907,5,2.157304413586608,-0.49443747603217775,-0.23597553236893046,-1.5134349040014081,0.6469068145294746,-0.39273937709012674
2908,5,1.7375195656685707,-0.21101709298086346,0.0786601787652419,-1.2877316480549061,0.3464893582535111,-0.07931990964439103
2909,5,1.563655381296169,-0.8625858188761807,0.49064539269508917,-1.1874851763832373,0.864346604711597,-0.8624311501413551
2910,5,1.90259648674129,-1.6198860625867377,0.512234763244578,-0.9066767572881239,1.4765098618599406,-0.9358414469115713
2911,5,2.4115026370629864,-1.7764356234541658,0.8392686314939511,-1.0465444635552124,1.194302378589083,-0.5866199645392035
2912,5,2.46592693893038,-1.4095657457104303,0.7882916862673954,-1.2026251489334507,1.3596833298288395,0.03383223033853912
2913,5,2.3743166463373093,-0.8129362076361168,0.5800079180414953,0.30182893445913134,0.7302442027937336,0.21757071918084353
2914,5,2.5375199055416373,-0.016360306061278362,0.8611400613246565,0.32273100060421706,1.0254861699516389,-0.65798821800482
2915,5,2.503787576941976,0.27657824398964115,1.5824842548850546,0.46003615616316734,0.4806613134096168,-0.8321729630231334
2916,5,2.4084703889745254,0.5221482514371809,1.7239726182969515,0.4604511714450219,-0.023818794209748057,0.11491645092538116
2917,5,2.176713481131361,0.9252898972667575,1.5265895162576137,-0.07941935156423302,0.03509562022998766,0.767760263235148
2918,5,2.069001164223993,1.584789385380468,1.955417826309019,-0.9709612572606612,-0.17981000592019686,1.1629860281312108
2919,5,2.364381347817239,1.6029191153140814,2.1761781727345473,-1.0807905184920923,-0.24522302502603383,1.5584137516461118
