"id","clust_5","clust_3","clust_pred4_5"
3239,2,1,"2"
3240,2,1,"2"
3241,2,1,"2"
3242,2,1,"2"
3243,2,1,"2"
3244,2,1,"3"
3245,2,1,"2"
3246,2,1,"2"
3247,2,1,"2"
3248,2,1,"2"
3249,2,1,"2"
3250,2,1,"2"
3251,2,1,"2"
3252,2,1,"2"
3253,2,1,"2"
3254,2,1,"3"
3255,2,1,"4"
3256,2,1,"4"
3257,2,1,"4"
3258,4,3,"4"
3259,4,3,"4"
3260,4,3,"4"
3261,4,3,"4"
3262,3,2,"4"
3263,3,2,"3"
3264,3,2,"4"
3265,3,2,"4"
3266,3,2,"4"
3267,3,2,"4"
3268,3,2,"4"
3269,3,2,"3"
3270,3,2,"4"
3271,3,2,"4"
3272,3,2,"4"
3273,3,2,"3"
3274,3,2,"4"
3280,3,2,"3"
3281,3,2,"3"
3282,3,2,"3"
3283,3,2,"4"
3327,2,1,"2"
3328,2,1,"2"
3329,2,1,"2"
3330,2,1,"2"
3331,2,1,"2"
3332,2,1,"2"
3333,2,1,"2"
3334,2,1,"2"
3335,2,1,"2"
3336,2,1,"2"
3337,2,1,"2"
3338,2,1,"2"
3339,2,1,"2"
3340,2,1,"2"
3341,2,1,"3"
3342,2,1,"3"
3343,2,1,"4"
3344,2,1,"4"
3345,4,3,"4"
3346,4,3,"4"
3347,4,3,"4"
3348,4,3,"4"
3349,4,3,"4"
3350,3,2,"4"
3351,3,2,"4"
3352,3,2,"3"
3353,3,2,"4"
3354,3,2,"4"
3355,3,2,"4"
3356,3,2,"4"
3357,3,2,"4"
3358,3,2,"4"
3359,3,2,"3"
3360,3,2,"4"
3361,3,2,"4"
3362,3,2,"4"
3363,3,2,"4"
3369,3,2,"3"
3370,3,2,"3"
3371,3,2,"3"
3372,3,2,"4"
3415,2,1,"2"
3416,2,1,"2"
3417,2,1,"2"
3418,2,1,"2"
3419,2,1,"2"
3420,2,1,"2"
3421,2,1,"2"
3422,2,1,"2"
3423,2,1,"2"
3424,2,1,"2"
3425,2,1,"2"
3426,2,1,"2"
3427,2,1,"3"
3428,4,3,"3"
3429,2,1,"4"
3430,2,1,"4"
3431,4,3,"4"
3432,4,3,"4"
3433,4,3,"4"
3434,4,3,"4"
3435,4,3,"4"
3436,4,3,"4"
3437,4,3,"4"
3438,4,3,"4"
3439,4,3,"4"
3440,3,2,"4"
3441,3,2,"4"
3442,3,2,"4"
3443,3,2,"3"
3444,3,2,"3"
3445,3,2,"3"
3446,3,2,"3"
3447,3,2,"3"
3448,3,2,"4"
3449,3,2,"4"
3450,3,2,"3"
3451,3,2,"3"
3459,3,2,"3"
3460,3,2,"3"
3461,3,2,"3"
3467,3,2,"4"
3502,2,1,"4"
3503,2,1,"2"
3504,2,1,"2"
3505,2,1,"2"
3506,2,1,"2"
3507,2,1,"2"
3508,2,1,"2"
3509,2,1,"2"
3510,2,1,"2"
3511,2,1,"2"
3512,2,1,"2"
3513,2,1,"2"
3514,2,1,"4"
3515,2,1,"4"
3516,2,1,"4"
3517,2,1,"4"
3518,4,3,"4"
3519,4,3,"4"
3520,2,1,"4"
3521,2,1,"4"
3522,2,1,"4"
3523,4,3,"4"
3524,4,3,"4"
3525,4,3,"4"
3526,4,3,"4"
3527,4,3,"4"
3528,4,3,"4"
3529,3,2,"3"
3530,3,2,"3"
3531,3,2,"3"
3532,3,2,"3"
3533,3,2,"3"
3534,3,2,"3"
3535,3,2,"4"
3536,3,2,"4"
3537,3,2,"4"
3538,3,2,"3"
3539,3,2,"3"
3548,3,2,"3"
3549,3,2,"3"
3550,3,2,"3"
3555,3,2,"4"
3556,3,2,"4"
3557,3,2,"4"
3586,2,1,"3"
3587,2,1,"4"
3589,2,1,"4"
3590,2,1,"4"
